GameID,PlayerID,PlayerRace,LeagueNum,OnScreenProduction,OffScreenProduction,OnScreenPercent,OffScreenPercent
10,1,Terran,1,105,90,53.8461538461538,46.1538461538462
11,2,Protoss,1,46,8,85.1851851851852,14.8148148148148
46,3,Protoss,1,32,6,84.2105263157895,15.7894736842105
69,4,Terran,1,34,80,29.8245614035088,70.1754385964912
76,5,Terran,1,27,111,19.5652173913043,80.4347826086957
91,6,Protoss,1,50,0,100,0
116,7,Terran,1,52,20,72.2222222222222,27.7777777777778
127,8,Terran,1,65,46,58.5585585585586,41.4414414414414
156,9,Zerg,1,86,7,92.4731182795699,7.52688172043011
175,10,Zerg,1,69,26,72.6315789473684,27.3684210526316
181,11,Zerg,1,67,1,98.5294117647059,1.47058823529412
193,12,Zerg,1,39,2,95.1219512195122,4.8780487804878
233,13,Terran,1,50,3,94.3396226415094,5.66037735849056
245,14,Zerg,1,75,60,55.5555555555556,44.4444444444444
301,15,Protoss,1,26,0,100,0
312,16,Terran,1,139,23,85.8024691358025,14.1975308641975
313,17,Protoss,1,73,7,91.25,8.75
333,18,Zerg,1,39,1,97.5,2.5
341,19,Terran,1,108,33,76.5957446808511,23.4042553191489
356,20,Protoss,1,82,14,85.4166666666667,14.5833333333333
370,21,Terran,1,32,3,91.4285714285714,8.57142857142857
374,22,Zerg,1,82,7,92.1348314606742,7.86516853932584
437,23,Zerg,1,51,6,89.4736842105263,10.5263157894737
438,24,Terran,1,68,0,100,0
441,25,Protoss,1,35,1,97.2222222222222,2.77777777777779
453,26,Protoss,1,59,6,90.7692307692308,9.23076923076923
476,27,Terran,1,172,25,87.3096446700508,12.6903553299492
532,28,Zerg,1,83,41,66.9354838709677,33.0645161290323
556,29,Protoss,1,62,30,67.3913043478261,32.6086956521739
576,30,Zerg,1,149,22,87.1345029239766,12.8654970760234
619,31,Protoss,1,36,0,100,0
650,32,Protoss,1,53,3,94.6428571428571,5.35714285714286
754,33,Protoss,1,21,0,100,0
812,34,Protoss,1,37,2,94.8717948717949,5.12820512820514
883,35,Terran,1,79,20,79.7979797979798,20.2020202020202
